Navn;Index_Value;UB_Snitt;UB
1532 Giske;1,03;48096,50;49474,36
1534 Haram;1,03;48096,50;49767,16
1535 Vestnes;1,01;48096,50;48811,50
1539 Rauma;1,10;48096,50;52675,22
1543 Nesset;1,13;48096,50;54473,19
1545 Midsund;1,23;48096,50;59312,43
1546 Sandøy;1,29;48096,50;62006,46
1547 Aukra;1,11;48096,50;53372,32
1548 Fræna;1,05;48096,50;50478,37
1551 Eide;1,14;48096,50;54713,61
1554 Averøy;1,06;48096,50;50875,16
1557 Gjemnes;1,19;48096,50;57032,66
1560 Tingvoll;1,18;48096,50;56906,41
1563 Sunndal;1,07;48096,50;51542,81
1566 Surnadal;1,07;48096,50;51540,59
1567 Rindal;1,17;48096,50;56214,51
1571 Halsa;1,29;48096,50;62140,86
1573 Smøla;1,19;48096,50;57316,21
1576 Aure;1,15;48096,50;55370,53
1601 Trondheim;0,91;48096,50;43846,89
1612 Hemne;1,05;48096,50;50402,28
1613 Snillfjord;1,39;48096,50;66901,13
1617 Hitra;1,07;48096,50;51407,84
1620 Frøya;1,08;48096,50;52061,00
1621 Ørland;1,01;48096,50;48753,58
1622 Agdenes;1,34;48096,50;64503,95
1624 Rissa;1,09;48096,50;52437,11
1627 Bjugn;1,09;48096,50;52298,67
1630 Åfjord;1,14;48096,50;55036,32
1632 Roan;1,38;48096,50;66346,63
1633 Osen;1,48;48096,50;71159,71
1634 Oppdal;1,03;48096,50;49350,87
1635 Rennebu;1,18;48096,50;56517,06
1636 Meldal;1,12;48096,50;53793,52
1638 Orkdal;1,02;48096,50;49288,49
1640 Røros;1,03;48096,50;49417,29
1644 Holtålen;1,15;48096,50;55454,92
1648 Midtre Gauldal;1,08;48096,50;52149,89
1653 Melhus;1,02;48096,50;48836,02
1657 Skaun;1,03;48096,50;49536,41
1662 Klæbu;1,01;48096,50;48683,83
1663 Malvik;0,98;48096,50;46913,44
1664 Selbu;1,15;48096,50;55372,41
1665 Tydal;1,29;48096,50;61813,93
1702 Steinkjer;1,03;48096,50;49464,69
1703 Namsos;1,06;48096,50;50840,94
1711 Meråker;1,17;48096,50;56356,89
1714 Stjørdal;1,00;48096,50;48309,18
1717 Frosta;1,15;48096,50;55244,58
1718 Leksvik;1,26;48096,50;60634,50
1719 Levanger;1,01;48096,50;48772,56
1721 Verdal;1,01;48096,50;48749,73
1724 Verran;1,16;48096,50;55789,32
1725 Namdalseid;1,30;48096,50;62651,35
1736 Snåsa;1,21;48096,50;58156,34
1738 Lierne;1,50;48096,50;72273,84
1739 Røyrvik;1,65;48096,50;79409,15
1740 Namsskogan;1,48;48096,50;71391,50
1742 Grong;1,15;48096,50;55246,57
1743 Høylandet;1,46;48096,50;70399,36
1744 Overhalla;1,17;48096,50;56036,05
1748 Fosnes;1,47;48096,50;70484,81
1749 Flatanger;1,31;48096,50;62883,76
1750 Vikna;1,12;48096,50;54098,67
1751 Nærøy;1,13;48096,50;54129,94
1755 Leka;1,47;48096,50;70878,85
1756 Inderøy;1,07;48096,50;51574,17
1804 Bodø;0,94;48096,50;45103,01
1805 Narvik;1,00;48096,50;48246,20
1811 Bindal;1,38;48096,50;66274,96
1812 Sømna;1,23;48096,50;59129,28
1813 Brønnøy;1,09;48096,50;52588,23
1815 Vega;1,25;48096,50;60018,44
1816 Vevelstad;1,54;48096,50;74066,83
1818 Herøy;1,17;48096,50;56239,07
1820 Alstahaug;1,02;48096,50;48857,60
1822 Leirfjord;1,18;48096,50;56577,46
1824 Vefsn;1,03;48096,50;49751,57
1825 Grane;1,30;48096,50;62423,61
